"name","pokedex_number","generation","no_in_generation","percentage_in_generation","abilities","type1","type2","weight_kg","is_legendary","Hp","attack","sp_attack","defense","sp_defense","speed","base_total","base_egg_steps","base_happiness","capture_rate","experience_growth","height_m","percentage_male","base_experience","egg_cycles","can_evolve","evolves_from","evolves_to","evolution_stages","shape","color","egg_groups"
"Nidoran M",32,1,32,0.2119205298013245,"['Poison Point', 'Rivalry', 'Hustle']","poison",\N,9,false,46,57,40,40,40,50,273,5120,70,"235","Medium Slow",0.5,100,55,20,false,\N,"['Nidorino']",2,"Quadruped","Purple","['monster','field']"
"Nidorino",33,1,33,0.2185430463576159,"['Poison Point', 'Rivalry', 'Hustle']","poison",\N,19.5,false,61,72,55,57,55,65,365,5120,70,"120","Medium Slow",0.9,100,128,20,true,"Nidoran M","['Nidoking']",2,"Quadruped","Purple","['monster','field']"
"Nidoking",34,1,34,0.2251655629139073,"['Poison Point', 'Rivalry', 'Sheer Force']","poison","ground",62,false,81,102,85,77,75,85,505,5120,70,"45","Medium Slow",1.4,100,227,20,false,"Nidorino","[]",2,"Upright","Purple","['monster','field']"
"Clefairy",35,1,35,0.23178807947019867,"['Cute Charm', 'Magic Guard', 'Friend Guard']","fairy",\N,7.5,false,70,45,60,48,65,35,323,2560,140,"150","Fast",0.6,24.6,113,10,true,"Cleffa","['Clefable']",2,"Upright","Pink","['fairy']"
"Clefable",36,1,36,0.23841059602649006,"['Cute Charm', 'Magic Guard', 'Unaware']","fairy",\N,40,false,95,70,95,73,90,60,483,2560,140,"25","Fast",1.3,24.6,217,10,false,"Clefairy","[]",2,"Upright","Pink","['fairy']"
"Vulpix",37,1,37,0.24503311258278146,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']","fire","ice",\N,false,38,41,50,40,65,65,299,5120,70,"190","Medium Fast",\N,24.6,60,20,true,\N,"['Ninetales']",1,"Quadruped","Brown","['field']"
"Ninetales",38,1,38,0.25165562913907286,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']","fire","ice",\N,false,73,76,81,75,100,100,505,5120,70,"75","Medium Fast",\N,24.6,177,20,false,"Vulpix","[]",1,"Quadruped","Yellow","['field']"
"Jigglypuff",39,1,39,0.2582781456953642,"['Cute Charm', 'Competitive', 'Friend Guard']","normal","fairy",5.5,false,115,45,45,20,25,20,270,2560,70,"170","Fast",0.5,24.6,95,10,true,"Igglybuff","['Wigglytuff']",2,"Humanoid","Pink","['fairy']"
"Wigglytuff",40,1,40,0.26490066225165565,"['Cute Charm', 'Competitive', 'Frisk']","normal","fairy",12,false,140,70,85,45,50,45,435,2560,70,"50","Fast",1,24.6,196,10,false,"Jigglypuff","[]",2,"Humanoid","Pink","['fairy']"
"Zubat",41,1,41,0.271523178807947,"['Inner Focus', 'Infiltrator']","poison","flying",7.5,false,40,45,30,35,40,55,245,3840,70,"255","Medium Fast",0.8,50,49,15,true,\N,"['Golbat']",2,"Wings","Purple","['flying']"
"Golbat",42,1,42,0.2781456953642384,"['Inner Focus', 'Infiltrator']","poison","flying",55,false,75,80,65,70,75,90,455,3840,70,"90","Medium Fast",1.6,50,159,15,true,"Zubat","['Crobat']",2,"Wings","Purple","['flying']"
"Oddish",43,1,43,0.2847682119205298,"['Chlorophyll', 'Run Away']","grass","poison",5.4,false,45,50,75,55,65,30,320,5120,70,"255","Medium Slow",0.5,50,64,20,true,\N,"['Gloom']",2,"Legs","Blue","['grass']"
"Gloom",44,1,44,0.2913907284768212,"['Chlorophyll', 'Stench']","grass","poison",8.6,false,60,65,85,70,75,40,395,5120,70,"120","Medium Slow",0.8,50,138,20,true,"Oddish","['Bellossom','Vileplume']",2,"Humanoid","Blue","['grass']"
"Vileplume",45,1,45,0.2980132450331126,"['Chlorophyll', 'Effect Spore']","grass","poison",18.6,false,75,80,110,85,90,50,490,5120,70,"45","Medium Slow",1.2,50,221,20,false,"Gloom","[]",2,"Humanoid","Red","['grass']"
"Paras",46,1,46,0.304635761589404,"['Effect Spore', 'Dry Skin', 'Damp']","bug","grass",5.4,false,35,70,45,55,55,25,285,5120,70,"190","Medium Fast",0.3,50,57,20,true,\N,"['Parasect']",1,"Armor","Red","['bug','grass']"
"Parasect",47,1,47,0.31125827814569534,"['Effect Spore', 'Dry Skin', 'Damp']","bug","grass",29.5,false,60,95,60,80,80,30,405,5120,70,"75","Medium Fast",1,50,142,20,false,"Paras","[]",1,"Armor","Red","['bug','grass']"
"Venonat",48,1,48,0.31788079470198677,"['Compoundeyes', 'Tinted Lens', 'Run Away']","bug","poison",30,false,60,55,40,50,55,45,305,5120,70,"190","Medium Fast",1,50,61,20,true,\N,"['Venomoth']",1,"Humanoid","Purple","['bug']"
"Venomoth",49,1,49,0.32450331125827814,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']","bug","poison",12.5,false,70,65,90,60,75,90,450,5120,70,"75","Medium Fast",1.5,50,158,20,false,"Venonat","[]",1,"Bug-Wings","Purple","['bug']"
"Diglett",50,1,50,0.33112582781456956,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']","ground","ground",\N,false,10,55,35,25,45,95,265,5120,70,"255","Medium Fast",\N,50,53,20,true,\N,"['Dugtrio']",1,"Blob","Brown","['field']"
"Dugtrio",51,1,51,0.33774834437086093,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']","ground","ground",\N,false,35,100,50,50,70,120,425,5120,70,"50","Medium Fast",\N,50,149,20,false,"Diglett","[]",1,"Heads","Brown","['field']"
"Meowth",52,1,52,0.3443708609271523,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']","normal","dark",\N,false,40,45,40,35,40,90,290,5120,70,"255","Medium Fast",\N,50,58,20,true,\N,"['Persian']",1,"Quadruped","Yellow","['field']"
"Persian",53,1,53,0.3509933774834437,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']","normal","dark",\N,false,65,70,65,60,65,115,440,5120,70,"90","Medium Fast",\N,50,154,20,false,"Meowth","[]",1,"Quadruped","Yellow","['field']"
"Psyduck",54,1,54,0.3576158940397351,"['Damp', 'Cloud Nine', 'Swift Swim']","water",\N,19.6,false,50,52,65,48,50,55,320,5120,70,"190","Medium Fast",0.8,50,64,20,true,\N,"['Golduck']",1,"Upright","Yellow","['water 1','field']"
"Golduck",55,1,55,0.36423841059602646,"['Damp', 'Cloud Nine', 'Swift Swim']","water",\N,76.6,false,80,82,95,78,80,85,500,5120,70,"75","Medium Fast",1.7,50,175,20,false,"Psyduck","[]",1,"Upright","Blue","['water 1','field']"
"Mankey",56,1,56,0.3708609271523179,"['Vital Spirit', 'Anger Point', 'Defiant']","fighting",\N,28,false,40,80,35,35,45,70,305,5120,70,"190","Medium Fast",0.5,50,61,20,true,\N,"['Primeape']",1,"Upright","Brown","['field']"
"Primeape",57,1,57,0.37748344370860926,"['Vital Spirit', 'Anger Point', 'Defiant']","fighting",\N,32,false,65,105,60,60,70,95,455,5120,70,"75","Medium Fast",1,50,159,20,false,"Mankey","[]",1,"Upright","Brown","['field']"
"Growlithe",58,1,58,0.3841059602649007,"['Intimidate', 'Flash Fire', 'Justified']","fire",\N,19,false,55,70,70,45,50,60,350,5120,70,"190","Slow",0.7,75.4,70,20,true,\N,"['Arcanine']",1,"Quadruped","Brown","['field']"
"Arcanine",59,1,59,0.39072847682119205,"['Intimidate', 'Flash Fire', 'Justified']","fire",\N,155,false,90,110,100,80,80,95,555,5120,70,"75","Slow",1.9,75.4,194,20,false,"Growlithe","[]",1,"Quadruped","Brown","['field']"
"Poliwag",60,1,60,0.3973509933774834,"['Water Absorb', 'Damp', 'Swift Swim']","water",\N,12.4,false,40,50,40,40,40,90,300,5120,70,"255","Medium Slow",0.6,50,60,20,true,\N,"['Poliwhirl']",2,"Legs","Blue","['water 1']"
"Poliwhirl",61,1,61,0.40397350993377484,"['Water Absorb', 'Damp', 'Swift Swim']","water",\N,20,false,65,65,50,65,50,90,385,5120,70,"120","Medium Slow",1,50,135,20,true,"Poliwag","['Politoed','Poliwrath']",2,"Humanoid","Blue","['water 1']"
"Poliwrath",62,1,62,0.4105960264900662,"['Water Absorb', 'Damp', 'Swift Swim']","water","fighting",54,false,90,95,70,95,90,70,510,5120,70,"45","Medium Slow",1.3,50,230,20,false,"Poliwhirl","[]",2,"Humanoid","Blue","['water 1']"
"Abra",63,1,63,0.41721854304635764,"['Synchronize', 'Inner Focus', 'Magic Guard']","psychic",\N,19.5,false,25,20,105,15,55,90,310,5120,70,"200","Medium Slow",0.9,75.4,62,20,true,\N,"['Kadabra']",2,"Upright","Brown","['human-like']"
"Kadabra",64,1,64,0.423841059602649,"['Synchronize', 'Inner Focus', 'Magic Guard']","psychic",\N,56.5,false,40,35,120,30,70,105,400,5120,70,"100","Medium Slow",1.3,75.4,140,20,true,"Abra","['Alakazam']",2,"Upright","Brown","['human-like']"
"Alakazam",65,1,65,0.4304635761589404,"['Synchronize', 'Inner Focus', 'Magic Guard']","psychic",\N,48,false,55,50,135,45,95,120,500,5120,70,"50","Medium Slow",1.5,75.4,225,20,false,"Kadabra","[]",2,"Humanoid","Brown","['human-like']"
"Machop",66,1,66,0.4370860927152318,"['Guts', 'No Guard', 'Steadfast']","fighting",\N,19.5,false,70,80,35,50,35,35,305,5120,70,"180","Medium Slow",0.8,75.4,61,20,true,\N,"['Machoke']",2,"Upright","Gray","['human-like']"
"Machoke",67,1,67,0.44370860927152317,"['Guts', 'No Guard', 'Steadfast']","fighting",\N,70.5,false,80,100,50,70,60,45,405,5120,70,"90","Medium Slow",1.5,75.4,142,20,true,"Machop","['Machamp']",2,"Humanoid","Gray","['human-like']"
"Machamp",68,1,68,0.4503311258278146,"['Guts', 'No Guard', 'Steadfast']","fighting",\N,130,false,90,130,65,80,85,55,505,5120,70,"45","Medium Slow",1.6,75.4,227,20,false,"Machoke","[]",2,"Humanoid","Gray","['human-like']"
"Bellsprout",69,1,69,0.45695364238410596,"['Chlorophyll', 'Gluttony']","grass","poison",4,false,50,75,70,35,30,40,300,5120,70,"255","Medium Slow",0.7,50,60,20,true,\N,"['Weepinbell']",2,"Humanoid","Green","['grass']"
"Weepinbell",70,1,70,0.46357615894039733,"['Chlorophyll', 'Gluttony']","grass","poison",6.4,false,65,90,85,50,45,55,390,5120,70,"120","Medium Slow",1,50,137,20,true,"Bellsprout","['Victreebel']",2,"Blob","Green","['grass']"
"Victreebel",71,1,71,0.47019867549668876,"['Chlorophyll', 'Gluttony']","grass","poison",15.5,false,80,105,100,65,70,70,490,5120,70,"45","Medium Slow",1.7,50,221,20,false,"Weepinbell","[]",2,"Blob","Green","['grass']"
"Tentacool",72,1,72,0.4768211920529801,"['Clear Body', 'Liquid Ooze', 'Rain Dish']","water","poison",45.5,false,40,40,50,35,100,70,335,5120,70,"190","Slow",0.9,50,67,20,true,\N,"['Tentacruel']",1,"Tentacles","Blue","['water 3']"
"Tentacruel",73,1,73,0.48344370860927155,"['Clear Body', 'Liquid Ooze', 'Rain Dish']","water","poison",55,false,80,70,80,65,120,100,515,5120,70,"60","Slow",1.6,50,180,20,false,"Tentacool","[]",1,"Tentacles","Blue","['water 3']"
"Geodude",74,1,74,0.4900662251655629,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']","rock","ground",\N,false,40,80,30,100,30,20,300,3840,70,"255","Medium Slow",\N,50,60,15,true,\N,"['Graveler']",2,"Arms","Brown","['mineral']"
"Graveler",75,1,75,0.4966887417218543,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']","rock","ground",\N,false,55,95,45,115,45,35,390,3840,70,"120","Medium Slow",\N,50,137,15,true,"Geodude","['Golem']",2,"Humanoid","Brown","['mineral']"
"Golem",76,1,76,0.5033112582781457,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']","rock","ground",\N,false,80,120,55,130,65,45,495,3840,70,"45","Medium Slow",\N,50,223,15,false,"Graveler","[]",2,"Humanoid","Brown","['mineral']"
"Ponyta",77,1,77,0.5099337748344371,"['Run Away', 'Flash Fire', 'Flame Body']","fire",\N,30,false,50,85,65,55,65,90,410,5120,70,"190","Medium Fast",1,50,82,20,true,\N,"['Rapidash']",1,"Quadruped","Yellow","['field']"
"Rapidash",78,1,78,0.5165562913907285,"['Run Away', 'Flash Fire', 'Flame Body']","fire",\N,95,false,65,100,80,70,80,105,500,5120,70,"60","Medium Fast",1.7,50,175,20,false,"Ponyta","[]",1,"Quadruped","Yellow","['field']"
"Slowpoke",79,1,79,0.5231788079470199,"['Oblivious', 'Own Tempo', 'Regenerator']","water","psychic",36,false,90,65,40,65,40,15,315,5120,70,"190","Medium Fast",1.2,50,63,20,true,\N,"['Slowbro','Slowking']",1,"Quadruped","Pink","['monster','water 1']"
"Slowbro",80,1,80,0.5298013245033113,"['Oblivious', 'Own Tempo', 'Regenerator']","water","psychic",78.5,false,95,75,100,110,80,30,490,5120,70,"75","Medium Fast",1.6,50,172,20,false,"Slowpoke","[]",1,"Upright","Pink","['monster','water 1']"
"Magnemite",81,1,81,0.5364238410596026,"['Magnet Pull', 'Sturdy', 'Analytic']","electric","steel",6,false,25,35,95,70,55,45,325,5120,70,"190","Medium Fast",0.3,\N,65,20,true,\N,"['Magneton']",2,"Arms","Gray","['mineral']"
"Magneton",82,1,82,0.543046357615894,"['Magnet Pull', 'Sturdy', 'Analytic']","electric","steel",60,false,50,60,120,95,70,70,465,5120,70,"60","Medium Fast",1,\N,163,20,true,"Magnemite","['Magnezone']",2,"Heads","Gray","['mineral']"
"Farfetch'd",83,1,83,0.5496688741721855,"['Keen Eye', 'Inner Focus', 'Defiant']","normal","flying",15,false,52,90,58,55,62,60,377,5120,70,"45","Medium Fast",0.8,50,132,20,false,\N,"[]",0,"Wings","Brown","['flying','field']"
"Doduo",84,1,84,0.5562913907284768,"['Run Away', 'Early Bird', 'Tangled Feet']","normal","flying",39.2,false,35,85,35,45,35,75,310,5120,70,"190","Medium Fast",1.4,50,62,20,true,\N,"['Dodrio']",1,"Legs","Brown","['flying']"
"Dodrio",85,1,85,0.5629139072847682,"['Run Away', 'Early Bird', 'Tangled Feet']","normal","flying",85.2,false,60,110,60,70,60,110,470,5120,70,"45","Medium Fast",1.8,50,165,20,false,"Doduo","[]",1,"Legs","Brown","['flying']"
"Seel",86,1,86,0.5695364238410596,"['Thick Fat', 'Hydration', 'Ice Body']","water",\N,90,false,65,45,45,55,70,45,325,5120,70,"190","Medium Fast",1.1,50,65,20,true,\N,"['Dewgong']",1,"Fish","White","['water 1','field']"
"Dewgong",87,1,87,0.5761589403973509,"['Thick Fat', 'Hydration', 'Ice Body']","water","ice",120,false,90,70,70,80,95,70,475,5120,70,"75","Medium Fast",1.7,50,166,20,false,"Seel","[]",1,"Fish","White","['water 1','field']"
"Grimer",88,1,88,0.5827814569536424,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']","poison","poison",\N,false,80,80,40,50,50,25,325,5120,70,"190","Medium Fast",\N,50,65,20,true,\N,"['Muk']",1,"Arms","Purple","['amorphous']"
"Muk",89,1,89,0.5894039735099338,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']","poison","poison",\N,false,105,105,65,75,100,50,500,5120,70,"75","Medium Fast",\N,50,175,20,false,"Grimer","[]",1,"Arms","Purple","['amorphous']"
"Shellder",90,1,90,0.5960264900662252,"['Shell Armor', 'Skill Link', 'Overcoat']","water",\N,4,false,30,65,45,100,25,40,305,5120,70,"190","Slow",0.3,50,61,20,true,\N,"['Cloyster']",1,"Ball","Purple","['water 3']"
"Cloyster",91,1,91,0.6026490066225165,"['Shell Armor', 'Skill Link', 'Overcoat']","water","ice",132.5,false,50,95,85,180,45,70,525,5120,70,"60","Slow",1.5,50,184,20,false,"Shellder","[]",1,"Ball","Purple","['water 3']"
"Gastly",92,1,92,0.609271523178808,"['Levitate']","ghost","poison",0.1,false,30,35,100,30,35,80,310,5120,70,"190","Medium Slow",1.3,50,62,20,true,\N,"['Haunter']",2,"Ball","Purple","['amorphous']"
"Haunter",93,1,93,0.6158940397350994,"['Levitate']","ghost","poison",0.1,false,45,50,115,45,55,95,405,5120,70,"90","Medium Slow",1.6,50,142,20,true,"Gastly","['Gengar']",2,"Arms","Purple","['amorphous']"
"Gengar",94,1,94,0.6225165562913907,"['Cursed Body']","ghost","poison",40.5,false,60,65,130,60,75,110,500,5120,70,"45","Medium Slow",1.5,50,225,20,false,"Haunter","[]",2,"Upright","Purple","['amorphous']"
"Onix",95,1,95,0.6291390728476821,"['Rock Head', 'Sturdy', 'Weak Armor']","rock","ground",210,false,35,45,30,160,45,70,385,6400,70,"45","Medium Fast",8.8,50,77,25,true,\N,"['Steelix']",1,"Squiggle","Gray","['mineral']"
"Drowzee",96,1,96,0.6357615894039735,"['Insomnia', 'Forewarn', 'Inner Focus']","psychic",\N,32.4,false,60,48,43,45,90,42,328,5120,70,"190","Medium Fast",1,50,66,20,true,\N,"['Hypno']",1,"Humanoid","Yellow","['human-like']"
"Hypno",97,1,97,0.6423841059602649,"['Insomnia', 'Forewarn', 'Inner Focus']","psychic",\N,75.6,false,85,73,73,70,115,67,483,5120,70,"75","Medium Fast",1.6,50,169,20,false,"Drowzee","[]",1,"Humanoid","Yellow","['human-like']"
"Krabby",98,1,98,0.6490066225165563,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']","water",\N,6.5,false,30,105,25,90,25,50,325,5120,70,"225","Medium Fast",0.4,50,65,20,true,\N,"['Kingler']",1,"Armor","Red","['water 3']"
"Kingler",99,1,99,0.6556291390728477,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']","water",\N,60,false,55,130,50,115,50,75,475,5120,70,"60","Medium Fast",1.3,50,166,20,false,"Krabby","[]",1,"Armor","Red","['water 3']"
"Voltorb",100,1,100,0.6622516556291391,"['Soundproof', 'Static', 'Aftermath']","electric",\N,10.4,false,40,30,55,50,55,100,330,5120,70,"190","Medium Fast",0.5,\N,66,20,true,\N,"['Electrode']",1,"Ball","Red","['mineral']"
"Electrode",101,1,101,0.6688741721854304,"['Soundproof', 'Static', 'Aftermath']","electric",\N,66.6,false,60,50,80,70,80,150,490,5120,70,"60","Medium Fast",1.2,\N,172,20,false,"Voltorb","[]",1,"Ball","Red","['mineral']"
"Exeggcute",102,1,102,0.6754966887417219,"['Chlorophyll', 'Harvest']","grass","psychic",2.5,false,60,40,60,80,45,40,325,5120,70,"90","Slow",0.4,50,65,20,true,\N,"['Exeggutor']",1,"Heads","Pink","['grass']"
"Exeggutor",103,1,103,0.6821192052980133,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']","grass","psychic",\N,false,95,95,125,85,75,55,530,5120,70,"45","Slow",\N,50,186,20,false,"Exeggcute","[]",1,"Legs","Yellow","['grass']"
"Cubone",104,1,104,0.6887417218543046,"['Rock Head', 'Lightningrod', 'Battle Armor']","ground",\N,6.5,false,50,50,40,95,50,35,320,5120,70,"190","Medium Fast",0.4,50,64,20,true,\N,"['Marowak']",1,"Upright","Brown","['monster']"
